"group_type","squadron_number","group_number","subgroup","lat","lon","locations","date"
"Jagdgeschwader",NA,27,"Stab",30.25,19.195,"El Agheila",1942-01-15
"Sturzkampfgeschwader",NA,2,"II",30.26132,19.18885,"El Aghelia, Agedabia",1941-04-15
"Jagdgeschwader",NA,27,"II",30.4583333333333,18.575,"Arco Philaenorum",1942-01-15
"Jagdgeschwader",NA,27,"II",30.4583333333333,18.575,"Arco Philaenorum",1942-11-15
"Sturzkampfgeschwader",NA,1,"I",30.4583333333333,18.575,"Arco Philenorum",1941-12-15
"Sturzkampfgeschwader",NA,3,"I",30.4583333333333,18.575,"Arco Philenorum",1941-12-15
"Sturzkampfgeschwader",NA,3,"Stab",30.4583333333333,18.575,"Arco Philenorum",1941-12-15
"Jagdgeschwader",NA,77,"I",30.4583333333333,18.575,"Arco-Philaenorum",1942-11-15
"Jagdgeschwader",NA,77,"III",30.4583333333333,18.575,"Arco-Philaenorum",1942-11-15
"Jagdgeschwader",NA,77,"Stab",30.4583333333333,18.575,"Arco-Philaenorum",1942-11-15
"Sturzkampfgeschwader",NA,2,"II",30.7083333333333,16.4333333333333,"El Machina",1941-03-15
"Jagdgeschwader",NA,27,"I",30.75,20.2166666666667,"Agedabia",1942-01-15
"Jagdgeschwader",NA,27,"III",30.75,20.2166666666667,"Agedabia",1942-01-15
"Sturzkampfgeschwader",NA,3,"II",30.75,20.2166666666667,"Agedabia",1942-01-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-10-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1943-01-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-01-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-02-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-03-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-04-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-05-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-06-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-07-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-08-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-09-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-11-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1942-12-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1943-02-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1943-03-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1943-04-15
"Sturzkampfgeschwader",NA,1,"I",30.75,20.2166666666667,"Agedabia",1943-05-15
"Sturzkampfgeschwader",NA,3,"I",30.75,20.2166666666667,"Agedabia",1942-01-15
"Sturzkampfgeschwader",NA,3,"Stab",30.75,20.2166666666667,"Agedabia",1942-01-15
"Sturzkampfgeschwader",NA,3,"Stab",30.7833333333333,17.8166666666667,"En Nofilia",1941-03-15
"Sturzkampfgeschwader",NA,1,"I",30.7833333333333,17.8166666666667,"En Nofilia",1941-03-15
"Sturzkampfgeschwader",NA,2,"II",30.7833333333333,17.8166666666667,"En Nofilia",1941-03-15
"Jagdgeschwader",NA,27,"Stab",30.9611111111111,28.6666666666667,"Mumin Busak",1942-07-15
"Jagdgeschwader",NA,27,"Stab",30.9611111111111,28.6666666666667,"Mumin Busak",1942-08-15
"Jagdgeschwader",NA,27,"Stab",30.9611111111111,28.6666666666667,"Mumin Busak",1942-09-15
"Jagdgeschwader",NA,27,"Stab",30.9611111111111,28.6666666666667,"Mumin Busak",1942-10-15
"Sturzkampfgeschwader",NA,3,"II",31.0083333333333,28.2541666666667,"Bir el Abd",1942-07-15
"Schlachtgeschwader",NA,2,"I",31.0083333333333,28.2541666666667,"Bir el Abd",1942-10-15
"Sturzkampfgeschwader",NA,3,"III",31.0083333333333,28.2541666666667,"Bir el Abd",1942-07-15
"Sturzkampfgeschwader",NA,3,"Stab",31.0083333333333,28.2541666666667,"Bir el Abd",1942-07-15
"Zerstörergeschwader",NA,1,"III",31.0083333333333,28.2541666666667,"Bir el Abd",1942-08-15
"Zerstörergeschwader",NA,1,"III",31.0083333333333,28.2541666666667,"Bir el Abd",1942-09-15
"Jagdgeschwader",10,27,"10.",31.0222222222222,28.0944444444444,"Quotaifiya",1942-07-15
"Jagdgeschwader",NA,27,"I",31.0222222222222,28.0944444444444,"Quotaifiya",1942-08-15
"Jagdgeschwader",NA,27,"I",31.0222222222222,28.0944444444444,"Quotaifiya",1942-09-15
"Jagdgeschwader",NA,27,"II",31.0222222222222,28.0944444444444,"Quotaifiya",1942-07-15
"Jagdgeschwader",NA,27,"II",31.0222222222222,28.0944444444444,"Quotaifiya",1942-08-15
"Jagdgeschwader",NA,27,"II",31.0222222222222,28.0944444444444,"Quotaifiya",1942-09-15
"Jagdgeschwader",NA,27,"II",31.0222222222222,28.0944444444444,"Quotaifiya",1942-10-15
"Jagdgeschwader",NA,27,"III",31.0222222222222,28.0944444444444,"Quotaifiya",1942-07-15
"Jagdgeschwader",10,53,"10.",31.0222222222222,28.0944444444444,"Quotaifiya",1942-07-15
"Jagdgeschwader",NA,53,"III",31.0222222222222,28.0944444444444,"Quotaifiya",1942-07-15
"Jagdgeschwader",NA,53,"III",31.0222222222222,28.0944444444444,"Quotaifiya",1942-09-15
"Jagdgeschwader",NA,53,"III",31.0222222222222,28.0944444444444,"Quotaifiya",1942-10-15
"Jagdgeschwader",NA,27,"I",31.0666666666667,28.3,"Turbiya",1942-07-15
"Jagdgeschwader",NA,27,"III",31.0666666666667,28.3,"Turbiya",1942-09-15
"Jagdgeschwader",NA,27,"III",31.0666666666667,28.3,"Turbiya",1942-10-15
"Zerstörergeschwader",NA,26,"III",31.0708333333333,27.6920138888889,"Fuka",1942-07-15
"Sturzkampfgeschwader",NA,3,"II",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-08-15
"Sturzkampfgeschwader",NA,3,"II",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-09-15
"Sturzkampfgeschwader",NA,3,"I",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-07-15
"Sturzkampfgeschwader",NA,3,"I",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-08-15
"Sturzkampfgeschwader",NA,3,"I",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-09-15
"Sturzkampfgeschwader",NA,3,"I",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-10-15
"Sturzkampfgeschwader",NA,3,"III",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-08-15
"Sturzkampfgeschwader",NA,3,"III",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-09-15
"Sturzkampfgeschwader",NA,3,"III",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-10-15
"Sturzkampfgeschwader",NA,3,"Stab",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-08-15
"Sturzkampfgeschwader",NA,3,"Stab",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-09-15
"Sturzkampfgeschwader",NA,3,"Stab",31.1166666666667,27.5083333333333,"Haggag el Quasaba",1942-10-15
"Jagdgeschwader",NA,27,"III",31.1166666666667,27.5083333333333,"Haggag-el-Quasaba",1942-08-15
"Jagdgeschwader",NA,53,"III",31.1166666666667,27.5083333333333,"Haggag-el-Quasaba",1942-08-15
"Sturzkampfgeschwader",NA,3,"Stab",31.2333333333333,16.1833333333333,"Tamet",1941-03-15
"Sturzkampfgeschwader",NA,1,"I",31.2333333333333,16.1833333333333,"Tamet",1941-03-15
"Jagdgeschwader",NA,77,"Stab",31.2333333333333,16.1833333333333,"Wadi Tamet",1942-12-15
"Jagdgeschwader",NA,77,"I",31.2333333333333,16.1833333333333,"Wadi-Tamet",1942-12-15
"Jagdgeschwader",NA,77,"III",31.2333333333333,16.1833333333333,"Wadi-Tamet",1942-12-15
"Sturzkampfgeschwader",NA,3,"I",31.7826388888889,24.5239583333333,"Gambut",1942-11-15
"Sturzkampfgeschwader",NA,3,"III",31.7826388888889,24.5239583333333,"Gambut",1942-11-15
"Sturzkampfgeschwader",NA,3,"Stab",31.7826388888889,24.5239583333333,"Gambut",1942-11-15
"Jagdgeschwader",NA,77,"I",31.9833333333333,14.6,"Bir Dufan",1943-01-15
"Jagdgeschwader",NA,77,"II",31.9833333333333,14.6,"Bir Dufan",1943-01-15
"Jagdgeschwader",NA,77,"III",31.9833333333333,14.6,"Bir Dufan",1943-01-15
"Jagdgeschwader",NA,77,"Stab",31.9833333333333,14.6,"Bir Dufan",1943-01-15
"Sturzkampfgeschwader",NA,3,"Stab",31.9833333333333,14.6,"Bir Dufan",1941-02-15
"Sturzkampfgeschwader",NA,1,"I",31.9833333333333,14.6,"Bir Dufan",1941-02-15
"Sturzkampfgeschwader",NA,2,"II",31.9833333333333,14.6,"Bir Dufan",1941-02-15
"Sturzkampfgeschwader",NA,3,"III",31.9833333333333,14.6,"Bir Dufan",1942-12-15
"Sturzkampfgeschwader",NA,3,"III",31.9833333333333,14.6,"Bir Dufan",1943-01-15
"Sturzkampfgeschwader",NA,3,"III",31.9833333333333,14.6,"Bir Dufan",1943-02-15
"Sturzkampfgeschwader",NA,3,"I",32.055462962963,20.0628086419753,"Berca",1942-02-15
"Sturzkampfgeschwader",NA,3,"Stab",32.055462962963,20.0628086419753,"Berca",1942-02-15
"Sturzkampfgeschwader",NA,3,"Stab",32.055462962963,20.0628086419753,"Berca",1942-03-15
"Sturzkampfgeschwader",NA,3,"Stab",32.055462962963,20.0628086419753,"Berca",1942-04-15
"Sturzkampfgeschwader",NA,3,"Stab",32.0958333333333,20.275,"Benina",1941-12-15
"Jagdgeschwader",NA,27,"I",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1941-05-15
"Jagdgeschwader",NA,27,"I",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1941-06-15
"Jagdgeschwader",NA,27,"I",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1941-07-15
"Jagdgeschwader",NA,27,"I",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1941-08-15
"Jagdgeschwader",NA,27,"I",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1941-09-15
"Jagdgeschwader",NA,27,"I",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1941-10-15
"Jagdgeschwader",NA,27,"I",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1941-11-15
"Jagdgeschwader",NA,27,"II",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1941-10-15
"Jagdgeschwader",NA,27,"II",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1941-11-15
"Sturzkampfgeschwader",NA,3,"I",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1942-05-15
"Sturzkampfgeschwader",NA,3,"Stab",32.1541666666667,23.3798611111111,"Ain-el-Gazala",1942-05-15
"Jagdgeschwader",NA,27,"II",32.3041666666667,23.025,"Tmimi",1942-06-15
"Jagdgeschwader",NA,27,"Stab",32.3041666666667,23.025,"Tmimi",1942-06-15
"Sturzkampfgeschwader",NA,3,"II",32.3041666666667,23.025,"Tmimi",1942-06-15
"Sturzkampfgeschwader",NA,2,"II",32.3041666666667,23.025,"Tmimi",1941-11-15
