country,Event,date
Netherlands,deportations_arrests,1941-02-22
France,deportations_arrests,1941-05-14
Romania,deportations_arrests,1941-07-22
Hungary,deportations_arrests,1941-08-26
Germany,deportations_arrests,1941-09-17
Ukraine,shot,1941-09-27
Ukraine,shot,1941-09-29
Ukraine,shot,1941-10-15
Latvia,shot,1941-11-30
Poland,deportations_extermination,1942-03-17
Slovakia,deportations_extermination,1942-03-17
France,deportations_extermination,1942-03-17
Netherlands,deportations_extermination,1942-07-14
France,deportations_extermination,1942-07-17
Poland,deportations_extermination,1942-07-17
Germany,deportations_extermination,1942-10-22
Poland,shot,1942-11-01
Greece,deportations_arrests,1943-02-01
Greece,deportations_extermination,1943-03-01
Italy,deportations_extermination,1943-10-16
Austria,deportations_extermination,1943-12-02
Hungary,deportations_extermination,1944-05-16
