east,text,date
East,Molotov-Ribbentrop Pact signed. It creates spheres of influence between Germany and Russia in Eastern Europe. ,1939-08-15
East,Germany Invades Poland. Two days later GB and France declare war on Germany. WW2 Begins.,1939-09-15
West,Germany's forces are fairly weak in the west. But France and GB do not attack. They wait for Poland to wear down Germany. ,1939-09-15
West,"Using a combination of tanks, planes, and tactics popularly known 'Blitzkrieg' Poland surrenders. German forces move to the west. ",1939-10-15
East,Russia invades Poland from the West. ,1939-10-15
West,Both sides wait for major combat. This period is known as the 'Sitzkieg' or Phony war'.,1940-01-15
West,Germany invades Norway to protect Swedish iron ore shipments from Allied attack.,1940-04-15
West,"Germany invades France and Benelux countries. Within weeks, in the middle of the campaign, luftwaffe planes relocate to France south of the Meuse river. They are able to continue direct support to the advancing army.",1940-05-15
West,France loses the campaign and surrenders in 6 weeks. GB forces evacuate the continent at Dunkirk.,1940-06-15
West,GB alone continues the fight without any end in sight. Germany moves luftwaffe to the edge of France to conduct the worlds first strategic air campaign - The Battle of Britain. ,1940-07-15
West,"Gaining air superiority was a necesary first step to launch a seaborn attack on Britain but the Luftwaffe could not defeat the RAF. Unescorted, attacking bombers were found to be particularly vulnerable against intercepting fighters. The lack of a long-range fighter escort will be a problem for USAAF the later half of 1943.",1940-08-15
West,Germany postpones invasion of Britain indefinitely. Italy invades Greece.,1940-10-15
West,Luftwaffe sent to Sicily to help the Italians. While the Mediterranean and North African campaigns were considered 'strategic backwaters' for Germany they will consume sizeable Luftwaffe forces in the coming years.  ,1941-01-15
West,"Germany invades Yugoslavia and Greece to help Italy, protect the 'southern flank', and to prevent allies using these locations to bomb Romanian oil. Like the campaigns in Norway, France, and Poland these are short campaigns lasting only a few weeks.",1941-04-15
West,Large build up of 'last minute' Luftwaffe forces in Poland. ,1941-06-15
East,Germany invades Russia in the largest invasion in history. A majority of planes are deployed on the Eastern Front and it will remain the focus until the midle 1943.,1941-06-15
East,Within days the Luftwaffe destroys thousands of Soviet planes and achieves air superiority. The Luftwaffes main task now is supporiting ground operations. ,1941-07-15
East,Milllions of POWs are captured in massive encirclement operations (most starved in open air prisons). The luftwaffe showed it's adaptability by relocating to new airfields and supporting the army.,1941-09-15
East,But the large advancments of the Wermacht also lay bare its deficiencies in logistical support and maintaining operational capabilities over vast distances. ,1941-10-15
East,By the winter the German advance is struggling. Large scale German (over 900k) casualites and unpreparedness of winter conditions (machines are too cold to start) halt the advance outside Moscow. ,1941-10-15
East,Russia launches a counter attack. The Battle of Moscow is one of the largest battles in the war it signifies the end of quick campaigns. It is now a war of attrition. ,1941-12-15
West,Germany Declares War on US. Air units arrive in Sicily to help protect Axis shipping from Allied attack. ,1941-12-15
West,Britain launches the first 1000 bomber raid of war on Cologne. Lacking a long-range fighter to escort bombers the English focus on night attacks aimed at destorying the Germans will to fight. Known as 'area' or 'terror' bombing this is a central part of UK's offensive strategy.,1942-05-15
